Time (s) Auto	Angle (rad) Run #24
0.000	0.000
0.050	-0.002
0.100	0.000
0.150	0.009
0.200	0.027
0.250	0.060
0.300	0.110
0.350	0.185
0.400	0.289
0.450	0.424
0.500	0.594
0.550	0.798
0.600	1.037
0.650	1.308
0.700	1.604
0.750	1.918
0.800	2.238
0.850	2.554
0.900	2.851
0.950	3.112
1.000	3.321
1.050	3.459
1.100	3.514
1.150	3.475
1.200	3.343
1.250	3.121
1.300	2.818
1.350	2.444
1.400	2.011
1.450	1.528
1.500	1.015
1.550	0.484
1.600	-0.044
1.650	-0.551
1.700	-1.019
1.750	-1.434
1.800	-1.777
1.850	-2.034
1.900	-2.198
1.950	-2.259
2.000	-2.218
2.050	-2.075
2.100	-1.838
2.150	-1.513
2.200	-1.109
2.250	-0.644
2.300	-0.130
2.350	0.419
2.400	0.986
2.450	1.560
2.500	2.124
2.550	2.661
2.600	3.160
2.650	3.600
2.700	3.958
2.750	4.211
2.800	4.339
2.850	4.335
2.900	4.202
2.950	3.947
3.000	3.594
3.050	3.162
3.100	2.675
3.150	2.146
3.200	1.590
3.250	1.024
3.300	0.465
3.350	-0.072
3.400	-0.573
3.450	-1.021
3.500	-1.404
3.550	-1.714
3.600	-1.938
3.650	-2.073
3.700	-2.117
3.750	-2.073
3.800	-1.945
3.850	-1.737
3.900	-1.462
3.950	-1.129
4.000	-0.752
4.050	-0.342
4.100	0.088
4.150	0.529
4.200	0.969
4.250	1.400
4.300	1.811
4.350	2.198
4.400	2.553
4.450	2.867
4.500	3.135
4.550	3.352
4.600	3.509
4.650	3.600
4.700	3.622
4.750	3.574
4.800	3.457
4.850	3.285
4.900	3.058
4.950	2.785
5.000	2.469
5.050	2.119
5.100	1.742
5.150	1.348
5.200	0.944
5.250	0.539
5.300	0.145
5.350	-0.228
5.400	-0.570
5.450	-0.873
5.500	-1.129
5.550	-1.332
5.600	-1.473
5.650	-1.550
5.700	-1.560
5.750	-1.505
5.800	-1.387
5.850	-1.213
5.900	-0.986
5.950	-0.715
6.000	-0.407
6.050	-0.068
6.100	0.294
6.150	0.671
6.200	1.056
6.250	1.440
6.300	1.821
6.350	2.188
6.400	2.534
6.450	2.851
6.500	3.132
6.550	3.366
6.600	3.542
6.650	3.651
6.700	3.684
6.750	3.635
6.800	3.509
6.850	3.311
6.900	3.050
6.950	2.733
7.000	2.367
7.050	1.959
7.100	1.524
7.150	1.070
7.200	0.611
7.250	0.159
7.300	-0.273
7.350	-0.672
7.400	-1.027
7.450	-1.327
7.500	-1.563
7.550	-1.726
7.600	-1.814
7.650	-1.822
7.700	-1.753
7.750	-1.612
7.800	-1.403
7.850	-1.133
7.900	-0.811
7.950	-0.448
8.000	-0.053
8.050	0.361
8.100	0.789
8.150	1.221
8.200	1.646
8.250	2.058
8.300	2.446
8.350	2.802
8.400	3.120
8.450	3.387
8.500	3.591
8.550	3.723
8.600	3.776
8.650	3.746
8.700	3.635
8.750	3.449
8.800	3.197
8.850	2.889
8.900	2.532
8.950	2.136
9.000	1.709
9.050	1.264
9.100	0.812
9.150	0.366
9.200	-0.063
9.250	-0.465
9.300	-0.828
9.350	-1.140
9.400	-1.395
9.450	-1.582
9.500	-1.700
9.550	-1.742
9.600	-1.711
9.650	-1.608
9.700	-1.442
9.750	-1.214
9.800	-0.938
9.850	-0.619
9.900	-0.265
9.950	0.112
10.000	0.503
10.050	0.900
10.100	1.297
10.150	1.689
10.200	2.062
10.250	2.414
10.300	2.736
10.350	3.022
10.400	3.264
10.450	3.453
10.500	3.580
10.550	3.636
