freq (Hz) Run #24	Angle Amp (rad) Run #24
	3.48
0.52	
	2.58
0.52	
	2.60
0.51	
	2.77
0.51	
	2.60
0.51	
	2.56
0.51	
	2.58
0.50	
	2.44
0.50	
	2.50
0.49	
	2.41
0.49	
	2.46
0.49	
	2.32
0.48	
	2.37
0.48	
	2.29
0.47	
	2.25
0.47	
	2.28
0.47	
	2.21
0.46	
	2.15
0.46	
	2.13
0.45	
	2.13
0.45	
	2.06
0.45	
	2.05
0.44	
	1.99
0.44	
	1.98
0.43	
	1.98
0.43	
	1.93
0.42	
	1.88
0.42	
	1.87
0.41	
	1.84
0.41	
	1.83
0.40	
	1.79
0.40	
	1.79
0.40	
	1.76
0.39	
	1.73
0.39	
	1.74
0.38	
	1.69
0.37	
	1.70
0.37	
	1.74
0.36	
	1.72
0.36	
	1.74
0.35	
	1.81
0.34	
	1.86
0.34	
	1.91
0.33	
	2.00
0.33	
	2.02
0.32	
	2.05
0.31	
	2.05
0.31	
	1.95
0.30	
	1.90
0.29	
	1.86
0.29	
	1.78
0.28	
	1.75
0.27	
	1.70
0.26	
	1.65
0.26	
	1.61
0.25	
