Time (s) Auto,Angle (rad) Run #24
0,0
0.05,-0.002
0.1,0
0.15,0.009
0.2,0.027
0.25,0.06
0.3,0.11
0.35,0.185
0.4,0.289
0.45,0.424
0.5,0.594
0.55,0.798
0.6,1.037
0.65,1.308
0.7,1.604
0.75,1.918
0.8,2.238
0.85,2.554
0.9,2.851
0.95,3.112
1,3.321
1.05,3.459
1.1,3.514
1.15,3.475
1.2,3.343
1.25,3.121
1.3,2.818
1.35,2.444
1.4,2.011
1.45,1.528
1.5,1.015
1.55,0.484
1.6,-0.044
1.65,-0.551
1.7,-1.019
1.75,-1.434
1.8,-1.777
1.85,-2.034
1.9,-2.198
1.95,-2.259
2,-2.218
2.05,-2.075
2.1,-1.838
2.15,-1.513
2.2,-1.109
2.25,-0.644
2.3,-0.13
2.35,0.419
2.4,0.986
2.45,1.56
2.5,2.124
2.55,2.661
2.6,3.16
2.65,3.6
2.7,3.958
2.75,4.211
2.8,4.339
2.85,4.335
2.9,4.202
2.95,3.947
3,3.594
3.05,3.162
3.1,2.675
3.15,2.146
3.2,1.59
3.25,1.024
3.3,0.465
3.35,-0.072
3.4,-0.573
3.45,-1.021
3.5,-1.404
3.55,-1.714
3.6,-1.938
3.65,-2.073
3.7,-2.117
3.75,-2.073
3.8,-1.945
3.85,-1.737
3.9,-1.462
3.95,-1.129
4,-0.752
4.05,-0.342
4.1,0.088
4.15,0.529
4.2,0.969
4.25,1.4
4.3,1.811
4.35,2.198
4.4,2.553
4.45,2.867
4.5,3.135
4.55,3.352
4.6,3.509
4.65,3.6
4.7,3.622
4.75,3.574
4.8,3.457
4.85,3.285
4.9,3.058
4.95,2.785
5,2.469
5.05,2.119
5.1,1.742
5.15,1.348
5.2,0.944
5.25,0.539
5.3,0.145
5.35,-0.228
5.4,-0.57
5.45,-0.873
5.5,-1.129
5.55,-1.332
5.6,-1.473
5.65,-1.55
5.7,-1.56
5.75,-1.505
5.8,-1.387
5.85,-1.213
5.9,-0.986
5.95,-0.715
6,-0.407
6.05,-0.068
6.1,0.294
6.15,0.671
6.2,1.056
6.25,1.44
6.3,1.821
6.35,2.188
6.4,2.534
6.45,2.851
6.5,3.132
6.55,3.366
6.6,3.542
6.65,3.651
6.7,3.684
6.75,3.635
6.8,3.509
6.85,3.311
6.9,3.05
6.95,2.733
7,2.367
7.05,1.959
7.1,1.524
7.15,1.07
7.2,0.611
7.25,0.159
7.3,-0.273
7.35,-0.672
7.4,-1.027
7.45,-1.327
7.5,-1.563
7.55,-1.726
7.6,-1.814
7.65,-1.822
7.7,-1.753
7.75,-1.612
7.8,-1.403
7.85,-1.133
7.9,-0.811
7.95,-0.448
8,-0.053
8.05,0.361
8.1,0.789
8.15,1.221
8.2,1.646
8.25,2.058
8.3,2.446
8.35,2.802
8.4,3.12
8.45,3.387
8.5,3.591
8.55,3.723
8.6,3.776
8.65,3.746
8.7,3.635
8.75,3.449
8.8,3.197
8.85,2.889
8.9,2.532
8.95,2.136
9,1.709
9.05,1.264
9.1,0.812
9.15,0.366
9.2,-0.063
9.25,-0.465
9.3,-0.828
9.35,-1.14
9.4,-1.395
9.45,-1.582
9.5,-1.7
9.55,-1.742
9.6,-1.711
9.65,-1.608
9.7,-1.442
9.75,-1.214
9.8,-0.938
9.85,-0.619
9.9,-0.265
9.95,0.112
10,0.503
10.05,0.9
10.1,1.297
10.15,1.689
10.2,2.062
10.25,2.414
10.3,2.736
10.35,3.022
10.4,3.264
10.45,3.453
10.5,3.58
10.55,3.636
10.6,3.622
10.65,3.534
10.7,3.38
10.75,3.164
10.8,2.892
10.85,2.57
10.9,2.209
10.95,1.814
11,1.396
11.05,0.968
11.1,0.536
11.15,0.116
11.2,-0.283
11.25,-0.649
11.3,-0.972
11.35,-1.244
11.4,-1.455
11.45,-1.601
11.5,-1.674
11.55,-1.678
11.6,-1.608
11.65,-1.475
11.7,-1.279
11.75,-1.03
11.8,-0.735
11.85,-0.404
11.9,-0.042
11.95,0.338
12,0.727
12.05,1.123
12.1,1.514
12.15,1.894
12.2,2.257
12.25,2.593
12.3,2.895
12.35,3.159
12.4,3.374
12.45,3.531
12.5,3.621
12.55,3.638
12.6,3.583
12.65,3.457
12.7,3.267
12.75,3.019
12.8,2.719
12.85,2.373
12.9,1.993
12.95,1.587
13,1.161
13.05,0.73
13.1,0.306
13.15,-0.101
13.2,-0.481
13.25,-0.822
13.3,-1.114
