freq (Hz) Run #23	Angle Amp (rad) Run #23
	3.33
0.52	
	2.69
0.52	
	2.64
0.52	
	2.69
0.51	
	2.61
0.51	
	2.61
0.51	
	2.52
0.50	
	2.55
0.50	
	2.43
0.50	
	2.47
0.49	
	2.41
0.49	
	2.38
0.48	
	2.32
0.48	
	2.29
0.47	
	2.28
0.47	
	2.21
0.47	
	2.20
0.46	
	2.14
0.46	
	2.12
0.45	
	2.12
0.45	
	2.05
0.44	
	1.99
0.44	
	1.98
0.43	
	1.98
0.43	
	1.93
0.42	
	1.89
0.42	
	1.88
0.41	
	1.84
0.41	
	1.83
0.40	
	1.80
0.40	
	1.77
0.39	
	1.73
0.39	
	1.75
0.38	
	1.76
0.38	
	1.72
0.37	
	1.74
0.37	
	1.71
0.36	
	1.74
0.36	
	1.80
0.35	
	1.80
0.35	
	1.87
0.34	
	1.89
0.33	
	1.97
0.33	
	1.96
0.32	
	2.02
0.31	
	2.04
0.31	
	1.94
0.30	
	1.88
0.29	
	1.84
0.29	
	1.76
0.28	
	1.74
0.27	
	1.69
0.26	
	1.64
0.26	
	1.62
0.25	
	1.59
