Time (s) Auto,Angle (rad) Run #23
0,0
0.05,0
0.1,0
0.15,0.002
0.2,0.006
0.25,0.019
0.3,0.039
0.35,0.072
0.4,0.124
0.45,0.195
0.5,0.289
0.55,0.41
0.6,0.562
0.65,0.748
0.7,0.966
0.75,1.214
0.8,1.489
0.85,1.786
0.9,2.099
0.95,2.414
1,2.721
1.05,3.007
1.1,3.253
1.15,3.448
1.2,3.572
1.25,3.611
1.3,3.561
1.35,3.418
1.4,3.192
1.45,2.889
1.5,2.516
1.55,2.088
1.6,1.615
1.65,1.112
1.7,0.597
1.75,0.086
1.8,-0.405
1.85,-0.858
1.9,-1.257
1.95,-1.585
2,-1.832
2.05,-1.987
2.1,-2.045
2.15,-2.004
2.2,-1.866
2.25,-1.637
2.3,-1.324
2.35,-0.938
2.4,-0.492
2.45,0.003
2.5,0.531
2.55,1.078
2.6,1.63
2.65,2.176
2.7,2.7
2.75,3.187
2.8,3.619
2.85,3.977
2.9,4.235
2.95,4.378
3,4.392
3.05,4.277
3.1,4.045
3.15,3.712
3.2,3.302
3.25,2.832
3.3,2.32
3.35,1.78
3.4,1.227
3.45,0.677
3.5,0.146
3.55,-0.352
3.6,-0.8
3.65,-1.188
3.7,-1.505
3.75,-1.74
3.8,-1.89
3.85,-1.949
3.9,-1.921
3.95,-1.81
4,-1.619
4.05,-1.362
4.1,-1.043
4.15,-0.679
4.2,-0.278
4.25,0.148
4.3,0.583
4.35,1.023
4.4,1.456
4.45,1.876
4.5,2.271
4.55,2.636
4.6,2.964
4.65,3.247
4.7,3.479
4.75,3.649
4.8,3.751
4.85,3.781
4.9,3.737
4.95,3.621
5,3.442
5.05,3.204
5.1,2.917
5.15,2.589
5.2,2.224
5.25,1.832
5.3,1.423
5.35,1.005
5.4,0.591
5.45,0.19
5.5,-0.187
5.55,-0.531
5.6,-0.833
5.65,-1.082
5.7,-1.275
5.75,-1.404
5.8,-1.467
5.85,-1.461
5.9,-1.389
5.95,-1.253
6,-1.062
6.05,-0.82
6.1,-0.533
6.15,-0.21
6.2,0.141
6.25,0.514
6.3,0.897
6.35,1.288
6.4,1.678
6.45,2.059
6.5,2.424
6.55,2.765
6.6,3.072
6.65,3.341
6.7,3.558
6.75,3.712
6.8,3.793
6.85,3.793
6.9,3.712
6.95,3.555
7,3.327
7.05,3.039
7.1,2.7
7.15,2.315
7.2,1.896
7.25,1.455
7.3,1.001
7.35,0.547
7.4,0.107
7.45,-0.306
7.5,-0.683
7.55,-1.01
7.6,-1.28
7.65,-1.483
7.7,-1.612
7.75,-1.665
7.8,-1.641
7.85,-1.544
7.9,-1.376
7.95,-1.145
8,-0.859
8.05,-0.526
8.1,-0.157
8.15,0.24
8.2,0.657
8.25,1.081
8.3,1.506
8.35,1.923
8.4,2.325
8.45,2.7
8.5,3.043
8.55,3.341
8.6,3.585
8.65,3.764
8.7,3.867
8.75,3.888
8.8,3.825
8.85,3.68
8.9,3.465
8.95,3.189
9,2.857
9.05,2.48
9.1,2.067
9.15,1.63
9.2,1.178
9.25,0.726
9.3,0.284
9.35,-0.137
9.4,-0.522
9.45,-0.861
9.5,-1.148
9.55,-1.371
9.6,-1.525
9.65,-1.605
9.7,-1.612
9.75,-1.546
9.8,-1.411
9.85,-1.211
9.9,-0.958
9.95,-0.658
10,-0.319
10.05,0.049
10.1,0.435
10.15,0.834
10.2,1.238
10.25,1.637
10.3,2.023
10.35,2.392
10.4,2.735
10.45,3.043
10.5,3.308
10.55,3.523
10.6,3.679
10.65,3.764
10.7,3.776
10.75,3.712
10.8,3.575
10.85,3.374
10.9,3.115
10.95,2.805
11,2.452
11.05,2.062
11.1,1.648
11.15,1.219
11.2,0.787
11.25,0.363
11.3,-0.044
11.35,-0.419
11.4,-0.754
11.45,-1.038
11.5,-1.266
11.55,-1.429
11.6,-1.522
11.65,-1.544
11.7,-1.495
11.75,-1.379
11.8,-1.203
11.85,-0.971
11.9,-0.691
11.95,-0.371
12,-0.022
12.05,0.35
12.1,0.737
12.15,1.129
12.2,1.521
12.25,1.904
12.3,2.273
12.35,2.617
12.4,2.931
12.45,3.208
12.5,3.438
12.55,3.613
12.6,3.723
12.65,3.76
12.7,3.724
12.75,3.614
12.8,3.437
12.85,3.2
12.9,2.911
12.95,2.575
13,2.199
13.05,1.795
13.1,1.373
13.15,0.944
13.2,0.518
13.25,0.107
13.3,-0.28
13.35,-0.627
13.4,-0.928
13.45,-1.177
13.5,-1.362
13.55,-1.481
13.6,-1.528
13.65,-1.506
13.7,-1.417
13.75,-1.264
13.8,-1.056
13.85,-0.796
13.9,-0.495
13.95,-0.162
14,0.198
14.05,0.572
14.1,0.957
14.15,1.343
14.2,1.723
14.25,2.091
14.3,2.439
14.35,2.761
14.4,3.049
14.45,3.297
14.5,3.497
14.55,3.638
14.6,3.712
14.65,3.717
14.7,3.647
14.75,3.512
14.8,3.313
14.85,3.058
14.9,2.757
14.95,2.411
15,2.033
15.05,1.63
15.1,1.214
15.15,0.795
15.2,0.382
15.25,-0.011
15.3,-0.377
15.35,-0.702
15.4,-0.979
15.45,-1.202
15.5,-1.362
15.55,-1.456
15.6,-1.483
15.65,-1.442
15.7,-1.335
15.75,-1.17
15.8,-0.953
15.85,-0.69
15.9,-0.388
15.95,-0.057
16,0.297
16.05,0.663
16.1,1.037
16.15,1.409
16.2,1.777
16.25,2.13
16.3,2.463
16.35,2.769
16.4,3.043
16.45,3.278
16.5,3.465
16.55,3.596
16.6,3.665
16.65,3.663
16.7,3.594
16.75,3.459
16.8,3.263
16.85,3.014
16.9,2.719
16.95,2.381
17,2.012
17.05,1.619
17.1,1.213
17.15,0.803
17.2,0.401
17.25,0.014
17.3,-0.344
17.35,-0.663
17.4,-0.938
17.45,-1.158
17.5,-1.318
17.55,-1.415
17.6,-1.445
17.65,-1.409
17.7,-1.31
17.75,-1.153
17.8,-0.946
17.85,-0.691
17.9,-0.401
17.95,-0.079
18,0.265
18.05,0.624
18.1,0.99
18.15,1.357
18.2,1.718
18.25,2.069
18.3,2.4
18.35,2.706
18.4,2.981
18.45,3.219
18.5,3.413
18.55,3.553
18.6,3.635
18.65,3.649
18.7,3.594
18.75,3.475
18.8,3.296
18.85,3.061
18.9,2.78
18.95,2.455
19,2.097
19.05,1.714
19.1,1.313
19.15,0.908
19.2,0.507
19.25,0.121
19.3,-0.242
19.35,-0.569
19.4,-0.853
19.45,-1.085
19.5,-1.26
19.55,-1.373
19.6,-1.422
19.65,-1.404
19.7,-1.326
19.75,-1.188
19.8,-0.997
19.85,-0.76
19.9,-0.485
19.95,-0.178
20,0.154
20.05,0.503
20.1,0.859
20.15,1.219
20.2,1.576
20.25,1.923
20.3,2.254
20.35,2.562
20.4,2.843
20.45,3.09
20.5,3.299
20.55,3.459
20.6,3.564
20.65,3.61
20.7,3.591
20.75,3.508
20.8,3.363
20.85,3.165
20.9,2.917
20.95,2.625
21,2.293
21.05,1.934
21.1,1.55
21.15,1.156
21.2,0.76
21.25,0.372
21.3,0.002
21.35,-0.342
21.4,-0.649
21.45,-0.908
21.5,-1.118
21.55,-1.269
21.6,-1.36
21.65,-1.387
21.7,-1.349
21.75,-1.253
21.8,-1.103
21.85,-0.903
21.9,-0.66
21.95,-0.38
22,-0.072
22.05,0.258
22.1,0.6
22.15,0.952
22.2,1.304
22.25,1.652
