,time(s),angle(rad)
0,0.0,0.0
1,0.05,0.865
2,0.1,1.646
3,0.15,2.265
4,0.2,2.663
5,0.25,2.8
6,0.3,2.663
7,0.35,2.266
8,0.4,1.647
9,0.45,0.867
10,0.5,0.002
11,0.55,-0.863
12,0.6,-1.644
13,0.65,-2.263
14,0.7,-2.662
15,0.75,-2.8
16,0.8,-2.665
17,0.85,-2.269
18,0.9,-1.651
19,0.95,-0.872
20,1.0,-0.008
21,1.05,0.857
22,1.1,1.638
23,1.15,2.259
24,1.2,2.659
25,1.25,2.8
26,1.3,2.667
27,1.35,2.274
28,1.4,1.659
29,1.45,0.882
30,1.5,0.019
31,1.55,-0.846
32,1.6,-1.628
33,1.65,-2.252
34,1.7,-2.655
35,1.75,-2.8
36,1.8,-2.671
37,1.85,-2.282
38,1.9,-1.67
39,1.95,-0.896
40,2.0,-0.034
41,2.05,0.831
42,2.1,1.615
43,2.15,2.242
44,2.2,2.65
45,2.25,2.8
46,2.3,2.677
47,2.35,2.293
48,2.4,1.685
49,2.45,0.914
50,2.5,0.054
51,2.55,-0.812
52,2.6,-1.599
53,2.65,-2.229
54,2.7,-2.643
55,2.75,-2.799
56,2.8,-2.683
57,2.85,-2.306
58,2.9,-1.704
59,2.95,-0.936
60,3.0,-0.077
61,3.05,0.789
62,3.1,1.578
63,3.15,2.214
64,3.2,2.634
65,3.25,2.799
66,3.3,2.69
67,3.35,2.321
68,3.4,1.725
69,3.45,0.962
70,3.5,0.106
71,3.55,-0.761
72,3.6,-1.554
73,3.65,-2.196
74,3.7,-2.624
75,3.75,-2.797
76,3.8,-2.699
77,3.85,-2.338
78,3.9,-1.75
79,3.95,-0.993
80,4.0,-0.138
81,4.05,0.729
82,4.1,1.526
83,4.15,2.174
84,4.2,2.612
85,4.25,2.796
86,4.3,2.708
87,4.35,2.358
88,4.4,1.778
89,4.45,1.027
90,4.5,0.175
91,4.55,-0.693
92,4.6,-1.494
93,4.65,-2.15
94,4.7,-2.598
95,4.75,-2.793
96,4.8,-2.718
97,4.85,-2.379
98,4.9,-1.81
99,4.95,-1.065
100,5.0,-0.217
101,5.05,0.652
102,5.1,1.458
103,5.15,2.122
104,5.2,2.581
105,5.25,2.79
106,5.3,2.728
107,5.35,2.402
108,5.4,1.844
109,5.45,1.107
110,5.5,0.262
111,5.55,-0.607
112,5.6,-1.418
113,5.65,-2.091
114,5.7,-2.562
115,5.75,-2.785
116,5.8,-2.739
117,5.85,-2.427
118,5.9,-1.881
119,5.95,-1.152
120,6.0,-0.313
121,6.05,0.557
122,6.1,1.373
123,6.15,2.057
124,6.2,2.541
125,6.25,2.779
126,6.3,2.749
127,6.35,2.453
128,6.4,1.92
129,6.45,1.202
130,6.5,0.367
131,6.55,-0.503
132,6.6,-1.325
133,6.65,-2.018
134,6.7,-2.517
135,6.75,-2.772
136,6.8,-2.759
137,6.85,-2.481
138,6.9,-1.962
139,6.95,-1.254
140,7.0,-0.425
141,7.05,0.445
142,7.1,1.272
143,7.15,1.976
144,7.2,2.489
145,7.25,2.763
146,7.3,2.769
147,7.35,2.509
148,7.4,2.006
149,7.45,1.31
150,7.5,0.488
151,7.55,-0.381
152,7.6,-1.214
153,7.65,-1.929
154,7.7,-2.459
155,7.75,-2.751
156,7.8,-2.778
157,7.85,-2.538
158,7.9,-2.052
159,7.95,-1.369
160,8.0,-0.555
161,8.05,0.314
162,8.1,1.152
163,8.15,1.879
164,8.2,2.425
165,8.25,2.737
166,8.3,2.786
167,8.35,2.567
168,8.4,2.1
169,8.45,1.432
170,8.5,0.625
171,8.55,-0.241
172,8.6,-1.085
173,8.65,-1.823
174,8.7,-2.387
175,8.75,-2.721
176,8.8,-2.793
177,8.85,-2.596
178,8.9,-2.15
179,8.95,-1.497
180,9.0,-0.7
181,9.05,0.164
182,9.1,1.013
183,9.15,1.764
184,9.2,2.345
185,9.25,2.701
186,9.3,2.797
187,9.35,2.625
188,9.4,2.2
189,9.45,1.564
190,9.5,0.778
191,9.55,-0.083
192,9.6,-0.936
193,9.65,-1.699
194,9.7,-2.299
195,9.75,-2.678
196,9.8,-2.8
197,9.85,-2.653
198,9.9,-2.252
199,9.95,-1.634
200,10.0,-0.86
201,10.05,-0.003
202,10.1,0.854
203,10.15,1.629
204,10.2,2.248
205,10.25,2.651
206,10.3,2.8
207,10.35,2.68
208,10.4,2.303
209,10.45,1.706
210,10.5,0.945
211,10.55,0.093
212,10.6,-0.767
213,10.65,-1.554
214,10.7,-2.192
215,10.75,-2.62
216,10.8,-2.796
217,10.85,-2.705
218,10.9,-2.355
219,10.95,-1.779
220,11.0,-1.033
221,11.05,-0.188
222,11.1,0.675
223,11.15,1.474
224,11.2,2.131
225,11.25,2.584
226,11.3,2.79
227,11.35,2.729
228,11.4,2.407
229,11.45,1.854
230,11.5,1.124
231,11.55,0.287
232,11.6,-0.578
233,11.65,-1.388
234,11.7,-2.064
235,11.75,-2.544
236,11.8,-2.78
237,11.85,-2.75
238,11.9,-2.457
239,11.95,-1.93
240,12.0,-1.218
241,12.05,-0.389
242,12.1,0.476
243,12.15,1.296
244,12.2,1.992
245,12.25,2.498
246,12.3,2.765
247,12.35,2.768
248,12.4,2.506
249,12.45,2.006
250,12.5,1.314
251,12.55,0.496
252,12.6,-0.369
253,12.65,-1.199
254,12.7,-1.914
255,12.75,-2.446
256,12.8,-2.745
257,12.85,-2.782
258,12.9,-2.554
259,12.95,-2.082
260,13.0,-1.411
261,13.05,-0.606
262,13.1,0.257
263,13.15,1.095
264,13.2,1.829
265,13.25,2.389
266,13.3,2.721
267,13.35,2.793
268,13.4,2.599
269,13.45,2.158
270,13.5,1.51
271,13.55,0.719
272,13.6,-0.14
273,13.65,-0.986
274,13.7,-1.738
275,13.75,-2.325
276,13.8,-2.69
277,13.85,-2.799
278,13.9,-2.641
279,13.95,-2.232
280,14.0,-1.611
281,14.05,-0.836
282,14.1,0.019
283,14.15,0.871
284,14.2,1.641
285,14.25,2.254
286,14.3,2.653
287,14.35,2.8
288,14.4,2.68
289,14.45,2.305
290,14.5,1.711
291,14.55,0.955
292,14.6,0.107
293,14.65,-0.75
294,14.7,-1.536
295,14.75,-2.176
296,14.8,-2.61
297,14.85,-2.795
298,14.9,-2.714
299,14.95,-2.376
300,15.001,-1.812
301,15.051,-1.076
302,15.101,-0.237
303,15.151,0.623
304,15.201,1.425
305,15.251,2.091
306,15.301,2.559
307,15.351,2.783
308,15.401,2.744
309,15.451,2.444
310,15.501,1.912
311,15.551,1.198
312,15.601,0.371
313,15.651,-0.491
314,15.701,-1.307
315,15.751,-1.998
316,15.801,-2.5
317,15.851,-2.765
318,15.901,-2.768
319,15.951,-2.508
320,16.001,-2.01
321,16.051,-1.322
322,16.101,-0.509
323,16.151,0.353
324,16.201,1.181
325,16.251,1.897
326,16.301,2.434
327,16.351,2.74
328,16.401,2.786
329,16.451,2.568
330,16.501,2.107
331,16.551,1.447
332,16.601,0.649
333,16.651,-0.21
334,16.701,-1.049
335,16.751,-1.788
336,16.801,-2.359
337,16.851,-2.706
338,16.901,-2.797
339,16.951,-2.623
340,17.001,-2.201
341,17.051,-1.571
342,17.101,-0.792
343,17.151,0.062
344,17.201,0.909
345,17.251,1.671
346,17.301,2.275
347,17.351,2.663
348,17.401,2.8
349,17.451,2.672
350,17.501,2.291
351,17.551,1.694
352,17.601,0.937
353,17.651,0.091
354,17.701,-0.763
355,17.751,-1.545
356,17.801,-2.181
357,17.851,-2.612
358,17.901,-2.795
359,17.951,-2.714
360,18.001,-2.377
361,18.051,-1.816
362,18.101,-1.083
363,18.151,-0.248
364,18.201,0.61
365,18.251,1.411
366,18.301,2.079
367,18.351,2.55
368,18.401,2.781
369,18.451,2.749
370,18.501,2.458
371,18.551,1.935
372,18.601,1.23
373,18.651,0.408
374,18.701,-0.451
375,18.751,-1.269
376,18.801,-1.966
377,18.851,-2.478
378,18.901,-2.757
379,18.951,-2.776
380,19.001,-2.533
381,19.051,-2.051
382,19.101,-1.376
383,19.151,-0.572
384,19.201,0.286
385,19.251,1.118
386,19.301,1.844
387,19.351,2.396
388,19.401,2.722
389,19.451,2.793
390,19.501,2.6
391,19.551,2.163
392,19.601,1.522
393,19.651,0.737
394,19.701,-0.116
395,19.751,-0.959
396,19.801,-1.711
397,19.851,-2.302
398,19.901,-2.677
399,19.951,-2.8
400,20.001,-2.659
401,20.051,-2.269
402,20.101,-1.665
403,20.151,-0.905
404,20.201,-0.059
405,20.251,0.792
406,20.301,1.568
407,20.351,2.197
408,20.401,2.62
409,20.451,2.796
410,20.501,2.71
411,20.551,2.369
412,20.601,1.805
413,20.651,1.072
414,20.701,0.238
415,20.751,-0.618
416,20.801,-1.416
417,20.851,-2.081
418,20.901,-2.55
419,20.951,-2.781
420,21.001,-2.75
421,21.051,-2.461
422,21.101,-1.941
423,21.151,-1.239
424,21.201,-0.421
425,21.251,0.436
426,21.301,1.253
427,21.351,1.952
428,21.401,2.468
429,21.451,2.753
430,21.501,2.779
431,21.551,2.545
432,21.601,2.072
433,21.651,1.405
434,21.701,0.606
435,21.751,-0.249
436,21.801,-1.081
437,21.851,-1.812
438,21.901,-2.373
439,21.951,-2.711
440,22.001,-2.796
441,22.051,-2.619
442,22.101,-2.196
443,22.151,-1.568
444,22.201,-0.793
445,22.251,0.056
446,22.301,0.9
447,22.351,1.66
448,22.401,2.264
449,22.451,2.656
450,22.501,2.8
451,22.551,2.681
452,22.601,2.312
453,22.651,1.727
454,22.701,0.98
455,22.751,0.141
456,22.801,-0.71
457,22.851,-1.496
458,22.901,-2.141
459,22.951,-2.586
460,23.001,-2.79
461,23.051,-2.732
462,23.101,-2.419
463,23.151,-1.881
464,23.201,-1.166
465,23.251,-0.343
466,23.301,0.513
467,23.351,1.32
468,23.401,2.004
469,23.451,2.501
470,23.501,2.765
471,23.551,2.77
472,23.601,2.516
473,23.651,2.028
474,23.701,1.35
475,23.751,0.546
476,23.801,-0.308
477,23.851,-1.134
478,23.901,-1.854
479,23.951,-2.401
480,24.001,-2.724
481,24.051,-2.793
482,24.101,-2.601
483,24.151,-2.167
484,24.201,-1.53
485,24.251,-0.751
486,24.301,0.098
487,24.351,0.937
488,24.401,1.69
489,24.451,2.285
490,24.501,2.667
491,24.551,2.8
492,24.601,2.672
493,24.651,2.296
494,24.701,1.706
495,24.751,0.956
496,24.801,0.118
497,24.851,-0.731
498,24.901,-1.512
499,24.951,-2.152
500,25.001,-2.592
501,25.051,-2.791
502,25.101,-2.729
503,25.151,-2.414
504,25.201,-1.874
505,25.251,-1.16
506,25.301,-0.337
507,25.351,0.516
508,25.401,1.322
509,25.451,2.004
510,25.501,2.5
511,25.551,2.764
512,25.601,2.77
513,25.651,2.519
514,25.701,2.034
515,25.751,1.36
516,25.801,0.559
517,25.851,-0.294
518,25.901,-1.119
519,25.951,-1.84
520,26.001,-2.391
521,26.051,-2.719
522,26.101,-2.794
523,26.151,-2.61
524,26.201,-2.184
525,26.251,-1.555
526,26.301,-0.781
527,26.351,0.065
528,26.401,0.905
529,26.451,1.661
530,26.501,2.263
531,26.551,2.654
532,26.601,2.8
533,26.651,2.685
534,26.701,2.322
535,26.751,1.743
536,26.801,1.002
537,26.851,0.169
538,26.901,-0.68
539,26.951,-1.466
540,27.001,-2.116
541,27.051,-2.57
542,27.101,-2.785
543,27.151,-2.742
544,27.201,-2.445
545,27.251,-1.922
546,27.301,-1.22
547,27.351,-0.405
548,27.401,0.447
549,27.451,1.258
550,27.501,1.952
551,27.551,2.465
552,27.601,2.75
553,27.651,2.781
554,27.701,2.554
555,27.751,2.09
556,27.801,1.433
557,27.851,0.644
558,27.901,-0.206
559,27.951,-1.036
560,28.001,-1.77
561,28.051,-2.34
562,28.101,-2.694
563,28.151,-2.799
564,28.201,-2.644
565,28.251,-2.246
566,28.301,-1.639
567,28.351,-0.881
568,28.401,-0.042
569,28.451,0.802
570,28.501,1.571
571,28.551,2.195
572,28.601,2.616
573,28.651,2.795
574,28.701,2.716
575,28.751,2.386
576,28.801,1.836
577,28.851,1.116
578,28.901,0.293
579,28.951,-0.557
580,29.001,-1.356
581,29.051,-2.029
582,29.101,-2.515
583,29.151,-2.768
584,29.201,-2.767
585,29.251,-2.509
586,29.301,-2.02
587,29.351,-1.345
588,29.401,-0.546
589,29.451,0.304
590,29.501,1.125
591,29.551,1.843
592,29.601,2.391
593,29.651,2.718
594,29.701,2.795
595,29.751,2.613
596,29.801,2.191
597,29.851,1.567
598,29.901,0.799
599,29.951,-0.043
600,30.001,-0.881
601,30.051,-1.638
602,30.101,-2.244
603,30.151,-2.643
604,30.201,-2.799
605,30.251,-2.696
606,30.301,-2.346
607,30.351,-1.779
608,30.401,-1.049
609,30.451,-0.222
610,30.501,0.626
611,30.551,1.415
612,30.601,2.075
613,30.651,2.543
614,30.701,2.777
615,30.751,2.756
616,30.801,2.481
617,30.851,1.978
618,30.901,1.293
619,30.951,0.489
620,31.001,-0.36
621,31.051,-1.175
622,31.101,-1.883
623,31.151,-2.418
624,31.201,-2.73
625,31.251,-2.791
626,31.301,-2.596
627,31.351,-2.162
628,31.401,-1.529
629,31.451,-0.756
630,31.501,0.086
631,31.551,0.921
632,31.601,1.67
633,31.651,2.267
634,31.701,2.655
635,31.751,2.8
636,31.801,2.687
637,31.851,2.327
638,31.901,1.754
639,31.951,1.02
640,32.001,0.193
641,32.051,-0.652
642,32.101,-1.438
643,32.151,-2.091
644,32.201,-2.553
645,32.251,-2.78
646,32.301,-2.752
647,32.351,-2.472
648,32.401,-1.965
649,32.451,-1.278
650,32.501,-0.474
651,32.551,0.374
652,32.601,1.187
653,32.651,1.891
654,32.701,2.423
655,32.751,2.732
656,32.801,2.79
657,32.851,2.594
