Time (s) Auto	Angle (rad) Run #25
0.000	0.000
0.050	0.000
0.100	-0.003
0.150	-0.017
0.200	-0.047
0.250	-0.099
0.300	-0.179
0.350	-0.291
0.400	-0.435
0.450	-0.614
0.500	-0.826
0.550	-1.068
0.600	-1.334
0.650	-1.616
0.700	-1.909
0.750	-2.201
0.800	-2.483
0.850	-2.744
0.900	-2.972
0.950	-3.160
1.000	-3.297
1.050	-3.374
1.100	-3.387
1.150	-3.330
1.200	-3.208
1.250	-3.018
1.300	-2.766
1.350	-2.454
1.400	-2.091
1.450	-1.682
1.500	-1.241
1.550	-0.773
1.600	-0.292
1.650	0.188
1.700	0.655
1.750	1.090
1.800	1.475
1.850	1.783
1.900	1.992
1.950	2.083
2.000	2.047
2.050	1.883
2.100	1.605
2.150	1.232
2.200	0.781
2.250	0.269
2.300	-0.289
2.350	-0.875
2.400	-1.470
2.450	-2.058
2.500	-2.619
2.550	-3.135
2.600	-3.591
2.650	-3.968
2.700	-4.257
2.750	-4.445
2.800	-4.529
2.850	-4.507
2.900	-4.381
2.950	-4.161
3.000	-3.852
3.050	-3.467
3.100	-3.019
3.150	-2.524
3.200	-1.998
3.250	-1.456
3.300	-0.909
3.350	-0.372
3.400	0.141
3.450	0.619
3.500	1.049
3.550	1.420
3.600	1.714
3.650	1.918
3.700	2.017
3.750	2.007
3.800	1.893
3.850	1.682
3.900	1.392
3.950	1.038
4.000	0.636
4.050	0.195
4.100	-0.272
4.150	-0.752
4.200	-1.235
4.250	-1.706
4.300	-2.155
4.350	-2.570
4.400	-2.941
4.450	-3.258
4.500	-3.512
4.550	-3.698
4.600	-3.809
4.650	-3.847
4.700	-3.811
4.750	-3.706
4.800	-3.537
4.850	-3.311
4.900	-3.038
4.950	-2.725
5.000	-2.381
5.050	-2.018
5.100	-1.641
5.150	-1.260
5.200	-0.881
5.250	-0.511
5.300	-0.154
5.350	0.181
5.400	0.487
5.450	0.762
5.500	0.999
5.550	1.192
5.600	1.334
5.650	1.418
5.700	1.440
5.750	1.398
5.800	1.293
5.850	1.126
5.900	0.905
5.950	0.631
6.000	0.311
6.050	-0.047
6.100	-0.438
6.150	-0.850
6.200	-1.274
6.250	-1.698
6.300	-2.111
6.350	-2.504
6.400	-2.860
6.450	-3.175
6.500	-3.435
6.550	-3.635
6.600	-3.764
6.650	-3.820
6.700	-3.801
6.750	-3.710
6.800	-3.550
