Time (s) Auto,Angle (rad) Run #25
0,0
0.05,0
0.1,-0.003
0.15,-0.017
0.2,-0.047
0.25,-0.099
0.3,-0.179
0.35,-0.291
0.4,-0.435
0.45,-0.614
0.5,-0.826
0.55,-1.068
0.6,-1.334
0.65,-1.616
0.7,-1.909
0.75,-2.201
0.8,-2.483
0.85,-2.744
0.9,-2.972
0.95,-3.16
1,-3.297
1.05,-3.374
1.1,-3.387
1.15,-3.33
1.2,-3.208
1.25,-3.018
1.3,-2.766
1.35,-2.454
1.4,-2.091
1.45,-1.682
1.5,-1.241
1.55,-0.773
1.6,-0.292
1.65,0.188
1.7,0.655
1.75,1.09
1.8,1.475
1.85,1.783
1.9,1.992
1.95,2.083
2,2.047
2.05,1.883
2.1,1.605
2.15,1.232
2.2,0.781
2.25,0.269
2.3,-0.289
2.35,-0.875
2.4,-1.47
2.45,-2.058
2.5,-2.619
2.55,-3.135
2.6,-3.591
2.65,-3.968
2.7,-4.257
2.75,-4.445
2.8,-4.529
2.85,-4.507
2.9,-4.381
2.95,-4.161
3,-3.852
3.05,-3.467
3.1,-3.019
3.15,-2.524
3.2,-1.998
3.25,-1.456
3.3,-0.909
3.35,-0.372
3.4,0.141
3.45,0.619
3.5,1.049
3.55,1.42
3.6,1.714
3.65,1.918
3.7,2.017
3.75,2.007
3.8,1.893
3.85,1.682
3.9,1.392
3.95,1.038
4,0.636
4.05,0.195
4.1,-0.272
4.15,-0.752
4.2,-1.235
4.25,-1.706
4.3,-2.155
4.35,-2.57
4.4,-2.941
4.45,-3.258
4.5,-3.512
4.55,-3.698
4.6,-3.809
4.65,-3.847
4.7,-3.811
4.75,-3.706
4.8,-3.537
4.85,-3.311
4.9,-3.038
4.95,-2.725
5,-2.381
5.05,-2.018
5.1,-1.641
5.15,-1.26
5.2,-0.881
5.25,-0.511
5.3,-0.154
5.35,0.181
5.4,0.487
5.45,0.762
5.5,0.999
5.55,1.192
5.6,1.334
5.65,1.418
5.7,1.44
5.75,1.398
5.8,1.293
5.85,1.126
5.9,0.905
5.95,0.631
6,0.311
6.05,-0.047
6.1,-0.438
6.15,-0.85
6.2,-1.274
6.25,-1.698
6.3,-2.111
6.35,-2.504
6.4,-2.86
6.45,-3.175
6.5,-3.435
6.55,-3.635
6.6,-3.764
6.65,-3.82
6.7,-3.801
6.75,-3.71
6.8,-3.55
6.85,-3.325
6.9,-3.044
6.95,-2.716
7,-2.347
7.05,-1.949
7.1,-1.53
7.15,-1.1
7.2,-0.668
7.25,-0.24
7.3,0.173
7.35,0.559
7.4,0.913
7.45,1.221
7.5,1.473
7.55,1.654
7.6,1.756
7.65,1.767
7.7,1.689
7.75,1.522
7.8,1.28
7.85,0.972
7.9,0.608
7.95,0.198
8,-0.25
8.05,-0.719
8.1,-1.2
8.15,-1.681
8.2,-2.146
8.25,-2.582
8.3,-2.978
8.35,-3.322
8.4,-3.603
8.45,-3.814
8.5,-3.946
8.55,-3.998
8.6,-3.969
8.65,-3.863
8.7,-3.682
8.75,-3.437
8.8,-3.132
8.85,-2.782
8.9,-2.394
8.95,-1.979
9,-1.55
9.05,-1.114
9.1,-0.68
9.15,-0.258
9.2,0.143
9.25,0.517
9.3,0.853
9.35,1.144
9.4,1.381
9.45,1.554
9.5,1.652
9.55,1.673
9.6,1.613
9.65,1.475
9.7,1.269
9.75,1.004
9.8,0.686
9.85,0.324
9.9,-0.074
9.95,-0.498
10,-0.938
10.05,-1.381
10.1,-1.816
10.15,-2.234
10.2,-2.622
10.25,-2.967
10.3,-3.266
10.35,-3.504
10.4,-3.677
10.45,-3.779
10.5,-3.809
10.55,-3.767
10.6,-3.655
10.65,-3.479
10.7,-3.247
10.75,-2.964
10.8,-2.642
10.85,-2.287
10.9,-1.909
10.95,-1.517
11,-1.118
11.05,-0.721
11.1,-0.333
11.15,0.039
11.2,0.388
11.25,0.705
11.3,0.986
11.35,1.221
11.4,1.401
11.45,1.517
11.5,1.565
11.55,1.539
11.6,1.44
11.65,1.274
11.7,1.046
11.75,0.763
11.8,0.434
11.85,0.061
11.9,-0.341
11.95,-0.767
12,-1.202
12.05,-1.638
12.1,-2.061
12.15,-2.463
12.2,-2.829
12.25,-3.151
12.3,-3.418
12.35,-3.622
12.4,-3.759
12.45,-3.822
12.5,-3.811
12.55,-3.729
12.6,-3.577
12.65,-3.365
12.7,-3.098
12.75,-2.783
12.8,-2.432
12.85,-2.051
12.9,-1.654
12.95,-1.246
13,-0.836
13.05,-0.43
13.1,-0.039
13.15,0.33
13.2,0.668
13.25,0.968
13.3,1.224
13.35,1.423
13.4,1.558
13.45,1.619
13.5,1.602
13.55,1.51
13.6,1.343
13.65,1.114
13.7,0.828
13.75,0.492
13.8,0.116
13.85,-0.291
13.9,-0.721
13.95,-1.161
14,-1.601
14.05,-2.026
14.1,-2.43
14.15,-2.799
14.2,-3.123
14.25,-3.393
14.3,-3.6
14.35,-3.74
14.4,-3.806
14.45,-3.8
14.5,-3.723
14.55,-3.578
14.6,-3.373
14.65,-3.115
14.7,-2.812
14.75,-2.472
14.8,-2.106
14.85,-1.722
14.9,-1.327
14.95,-0.93
15,-0.539
15.05,-0.162
15.1,0.198
15.15,0.528
15.2,0.823
15.25,1.079
15.3,1.285
15.35,1.434
15.4,1.519
15.45,1.535
15.5,1.478
15.55,1.354
15.6,1.169
15.65,0.927
15.7,0.635
15.75,0.298
15.8,-0.074
15.85,-0.473
15.9,-0.889
15.95,-1.312
16,-1.731
16.05,-2.136
16.1,-2.515
16.15,-2.857
16.2,-3.156
16.25,-3.401
16.3,-3.583
16.35,-3.701
16.4,-3.748
16.45,-3.724
16.5,-3.633
16.55,-3.481
16.6,-3.269
16.65,-3.01
16.7,-2.706
16.75,-2.37
16.8,-2.009
16.85,-1.632
16.9,-1.247
16.95,-0.859
17,-0.479
17.05,-0.112
17.1,0.236
17.15,0.556
17.2,0.844
17.25,1.089
17.3,1.286
17.35,1.428
17.4,1.506
17.45,1.516
17.5,1.455
17.55,1.327
17.6,1.139
17.65,0.894
17.7,0.598
17.75,0.261
17.8,-0.112
17.85,-0.512
17.9,-0.927
17.95,-1.349
18,-1.767
18.05,-2.168
18.1,-2.543
18.15,-2.882
18.2,-3.175
18.25,-3.413
18.3,-3.589
18.35,-3.699
18.4,-3.74
18.45,-3.71
18.5,-3.614
18.55,-3.456
18.6,-3.242
18.65,-2.98
18.7,-2.677
18.75,-2.342
18.8,-1.984
18.85,-1.61
18.9,-1.23
18.95,-0.85
19,-0.474
19.05,-0.115
19.1,0.225
19.15,0.536
19.2,0.812
19.25,1.051
19.3,1.243
19.35,1.381
19.4,1.458
19.45,1.47
19.5,1.417
19.55,1.301
19.6,1.125
19.65,0.895
19.7,0.617
19.75,0.297
19.8,-0.058
19.85,-0.441
19.9,-0.842
19.95,-1.25
20,-1.657
20.05,-2.051
20.1,-2.422
20.15,-2.76
20.2,-3.057
20.25,-3.303
20.3,-3.492
20.35,-3.619
20.4,-3.679
20.45,-3.673
20.5,-3.6
20.55,-3.465
20.6,-3.277
20.65,-3.038
20.7,-2.76
20.75,-2.446
20.8,-2.106
20.85,-1.75
20.9,-1.384
20.95,-1.015
21,-0.649
21.05,-0.292
21.1,0.047
21.15,0.363
21.2,0.649
21.25,0.9
21.3,1.111
21.35,1.275
21.4,1.384
