Time (s) Auto	Angle (rad) Run #27
0.000	0.000
0.050	0.000
0.100	0.000
0.150	0.000
0.200	0.000
0.250	0.000
0.300	0.000
0.350	0.000
0.400	0.000
0.450	0.000
0.500	0.000
0.550	0.000
0.600	0.000
0.650	0.000
0.700	0.000
0.750	0.000
0.800	0.000
0.850	0.000
0.900	0.000
0.950	0.000
1.000	0.000
1.050	0.000
1.100	0.000
1.150	0.000
1.200	0.000
1.250	0.000
1.300	0.000
1.350	0.000
1.400	0.000
1.450	0.000
1.500	0.000
1.550	0.000
1.600	0.000
1.650	0.000
1.700	0.000
1.750	0.000
1.800	0.000
1.850	0.000
1.900	0.000
1.950	-0.009
2.000	-0.080
2.050	-0.201
2.100	-0.371
2.150	-0.600
2.200	-0.856
2.250	-1.112
2.300	-1.291
2.350	-1.398
2.400	-1.478
2.450	-1.521
2.500	-1.502
2.550	-1.417
2.600	-1.272
2.650	-1.074
2.700	-0.833
2.750	-0.558
2.800	-0.262
2.850	0.041
2.900	0.339
2.950	0.620
3.000	0.872
3.050	1.087
3.100	1.252
3.150	1.365
3.200	1.418
3.250	1.412
3.300	1.346
3.350	1.228
3.400	1.062
3.450	0.853
3.500	0.614
3.550	0.352
3.600	0.079
3.650	-0.196
3.700	-0.459
3.750	-0.701
3.800	-0.908
3.850	-1.076
3.900	-1.195
3.950	-1.261
4.000	-1.269
4.050	-1.222
4.100	-1.123
4.150	-0.977
4.200	-0.790
4.250	-0.573
4.300	-0.335
4.350	-0.083
4.400	0.168
4.450	0.408
4.500	0.628
4.550	0.822
4.600	0.977
4.650	1.092
4.700	1.158
4.750	1.175
4.800	1.144
4.850	1.065
4.900	0.946
4.950	0.790
5.000	0.605
5.050	0.397
5.100	0.176
5.150	-0.049
5.200	-0.270
5.250	-0.478
5.300	-0.661
5.350	-0.815
5.400	-0.931
5.450	-1.005
5.500	-1.037
5.550	-1.023
5.600	-0.966
5.650	-0.869
5.700	-0.737
5.750	-0.575
5.800	-0.391
5.850	-0.195
5.900	0.009
5.950	0.209
6.000	0.396
6.050	0.565
6.100	0.708
6.150	0.820
6.200	0.897
6.250	0.933
6.300	0.930
6.350	0.888
6.400	0.809
6.450	0.701
6.500	0.565
6.550	0.410
6.600	0.240
6.650	0.064
6.700	-0.112
6.750	-0.283
6.800	-0.438
6.850	-0.573
6.900	-0.682
6.950	-0.759
7.000	-0.800
7.050	-0.804
7.100	-0.776
7.150	-0.713
7.200	-0.622
7.250	-0.506
7.300	-0.371
7.350	-0.221
7.400	-0.066
7.450	0.090
7.500	0.237
7.550	0.374
7.600	0.492
7.650	0.589
7.700	0.660
7.750	0.701
7.800	0.710
7.850	0.690
7.900	0.641
7.950	0.569
8.000	0.474
8.050	0.364
8.100	0.242
8.150	0.112
8.200	-0.019
8.250	-0.148
8.300	-0.270
8.350	-0.379
8.400	-0.470
8.450	-0.537
8.500	-0.580
8.550	-0.595
8.600	-0.583
8.650	-0.547
8.700	-0.485
8.750	-0.405
8.800	-0.311
8.850	-0.204
8.900	-0.093
8.950	0.020
9.000	0.130
9.050	0.231
9.100	0.319
9.150	0.393
9.200	0.448
9.250	0.484
9.300	0.498
9.350	0.490
9.400	0.462
9.450	0.416
9.500	0.355
9.550	0.283
9.600	0.203
9.650	0.116
9.700	0.027
9.750	-0.063
9.800	-0.146
9.850	-0.223
9.900	-0.291
9.950	-0.346
10.000	-0.382
10.050	-0.401
10.100	-0.401
10.150	-0.382
10.200	-0.349
10.250	-0.300
10.300	-0.240
10.350	-0.173
10.400	-0.101
10.450	-0.028
10.500	0.044
10.550	0.112
10.600	0.170
10.650	0.218
10.700	0.254
10.750	0.281
10.800	0.294
10.850	0.292
10.900	0.276
10.950	0.251
11.000	0.217
11.050	0.178
11.100	0.134
11.150	0.085
11.200	0.036
11.250	-0.013
11.300	-0.061
11.350	-0.105
11.400	-0.146
11.450	-0.179
11.500	-0.203
11.550	-0.218
11.600	-0.223
11.650	-0.220
11.700	-0.206
11.750	-0.185
11.800	-0.159
11.850	-0.127
11.900	-0.093
11.950	-0.058
12.000	-0.022
12.050	0.013
12.100	0.044
12.150	0.068
12.200	0.086
12.250	0.099
