Time (s) Auto	Angle (rad) Run #27
0.000	0.000
0.050	0.000
0.100	0.000
0.150	0.000
0.200	0.000
0.250	0.000
0.300	0.002
0.350	0.000
0.400	0.000
0.450	0.000
0.500	0.000
0.550	0.002
0.600	0.002
0.650	0.000
0.700	0.000
0.750	0.000
0.800	0.002
0.850	0.000
0.900	0.000
0.950	0.000
1.000	0.000
1.050	0.002
1.100	0.000
1.150	0.000
1.200	0.000
1.250	0.000
1.300	0.002
1.350	0.000
1.400	0.000
1.450	0.000
1.500	0.000
1.550	0.002
1.600	0.000
1.650	0.000
1.700	0.000
1.750	0.002
1.800	0.000
1.850	0.000
1.900	0.000
1.950	0.000
2.000	0.002
2.050	0.002
2.100	0.002
2.150	0.005
2.200	0.008
2.250	0.009
2.300	0.013
2.350	0.013
2.400	0.014
2.450	0.017
2.500	0.017
2.550	0.017
2.600	0.017
2.650	0.016
2.700	0.016
2.750	0.014
2.800	0.013
2.850	0.011
2.900	0.008
2.950	0.005
3.000	0.002
3.050	-0.002
3.100	-0.003
3.150	-0.005
3.200	-0.006
3.250	-0.006
3.300	-0.006
3.350	-0.006
3.400	-0.006
3.450	-0.005
3.500	-0.005
3.550	-0.003
3.600	-0.002
3.650	4.337E-19
3.700	0.003
3.750	0.006
3.800	0.008
3.850	0.009
3.900	0.011
3.950	0.013
4.000	0.013
4.050	0.013
4.100	0.013
4.150	0.013
4.200	0.013
4.250	0.011
4.300	0.011
4.350	0.009
4.400	0.006
4.450	0.005
4.500	0.002
4.550	6.505E-19
4.600	-0.002
4.650	-0.003
4.700	-0.003
4.750	-0.003
4.800	-0.005
4.850	-0.005
4.900	-0.003
4.950	-0.003
5.000	-0.003
5.050	-0.002
5.100	-0.002
5.150	4.337E-19
5.200	0.002
5.250	0.003
5.300	0.006
5.350	0.006
5.400	0.009
5.450	0.009
5.500	0.009
5.550	0.009
5.600	0.009
5.650	0.009
5.700	0.009
5.750	0.009
5.800	0.008
5.850	0.008
5.900	0.006
5.950	0.005
6.000	0.003
6.050	0.002
6.100	4.337E-19
6.150	4.337E-19
6.200	-0.002
6.250	-0.002
6.300	-0.002
6.350	-0.002
6.400	-0.002
6.450	-0.002
6.500	-0.002
6.550	-0.002
6.600	4.337E-19
6.650	4.337E-19
6.700	0.002
6.750	0.003
6.800	0.003
6.850	0.006
6.900	0.006
6.950	0.008
7.000	0.008
7.050	0.008
7.100	0.008
7.150	0.008
7.200	0.008
7.250	0.008
7.300	0.006
7.350	0.006
7.400	0.006
7.450	0.005
7.500	0.003
7.550	0.003
7.600	0.002
7.650	0.002
7.700	4.337E-19
7.750	4.337E-19
7.800	4.337E-19
7.850	4.337E-19
7.900	4.337E-19
7.950	4.337E-19
8.000	4.337E-19
8.050	4.337E-19
8.100	0.002
8.150	0.002
8.200	0.002
8.250	0.002
8.300	0.003
8.350	0.005
8.400	0.005
8.450	0.005
8.500	0.006
8.550	0.006
8.600	0.006
8.650	0.006
8.700	0.006
8.750	0.006
8.800	0.005
8.850	0.005
8.900	0.005
8.950	0.005
9.000	0.005
9.050	0.003
9.100	0.002
9.150	0.002
9.200	0.002
9.250	0.002
9.300	0.002
9.350	4.337E-19
9.400	4.337E-19
9.450	0.003
9.500	0.002
9.550	0.002
9.600	0.002
9.650	0.002
9.700	0.003
9.750	0.003
9.800	0.003
9.850	0.003
9.900	0.003
9.950	0.005
10.000	0.005
10.050	0.005
10.100	0.005
10.150	0.005
10.200	0.005
10.250	0.005
10.300	0.005
10.350	0.003
10.400	0.005
10.450	0.005
10.500	0.003
10.550	0.003
10.600	0.003
10.650	0.002
10.700	0.003
10.750	0.003
10.800	0.002
10.850	0.002
10.900	0.003
10.950	0.003
11.000	0.003
11.050	0.003
11.100	0.002
11.150	0.003
11.200	0.003
11.250	0.003
11.300	0.003
11.350	0.003
11.400	0.003
11.450	0.005
11.500	0.005
11.550	0.003
11.600	0.003
11.650	0.005
11.700	0.005
11.750	0.005
11.800	0.003
11.850	0.003
11.900	0.003
11.950	0.005
12.000	0.005
12.050	0.003
12.100	0.003
12.150	0.003
12.200	0.003
12.250	0.003
