Time (s) Auto	Angle (rad) Run #28
0.000	0.000
0.050	0.000
0.100	0.000
0.150	0.000
0.200	0.000
0.250	0.000
0.300	0.000
0.350	0.000
0.400	0.000
0.450	0.000
0.500	0.000
0.550	0.000
0.600	0.000
0.650	0.000
0.700	0.000
0.750	0.000
0.800	0.000
0.850	0.000
0.900	0.000
0.950	0.000
1.000	0.000
1.050	0.000
1.100	0.000
1.150	0.000
1.200	0.000
1.250	0.000
1.300	0.000
1.350	0.000
1.400	0.000
1.450	0.000
1.500	0.000
1.550	0.000
1.600	0.000
1.650	0.000
1.700	0.000
1.750	0.000
1.800	0.000
1.850	0.000
1.900	0.000
1.950	0.000
2.000	0.000
2.050	0.000
2.100	0.000
2.150	0.000
2.200	0.000
2.250	0.000
2.300	0.000
2.350	0.000
2.400	0.000
2.450	0.000
2.500	0.000
2.550	0.000
2.600	0.000
2.650	0.000
2.700	0.000
2.750	0.000
2.800	0.000
2.850	0.000
2.900	0.000
2.950	0.000
3.000	0.000
3.050	0.000
3.100	0.000
3.150	0.000
3.200	0.000
3.250	0.000
3.300	0.000
3.350	0.000
3.400	0.000
3.450	0.000
3.500	0.002
3.550	0.003
3.600	0.003
3.650	0.005
3.700	0.005
3.750	0.006
3.800	0.006
3.850	0.006
3.900	0.005
3.950	0.002
4.000	-0.002
4.050	-0.006
4.100	-0.009
4.150	-0.014
4.200	-0.017
4.250	-0.019
4.300	-0.019
4.350	-0.019
4.400	-0.017
4.450	-0.016
4.500	-0.013
4.550	-0.009
4.600	-0.006
4.650	-0.002
4.700	0.002
4.750	0.006
4.800	0.009
4.850	0.011
4.900	0.014
4.950	0.016
5.000	0.017
5.050	0.019
5.100	0.022
5.150	0.028
5.200	0.049
5.250	0.082
5.300	0.116
5.350	0.152
5.400	0.185
5.450	0.214
5.500	0.237
5.550	0.254
5.600	0.269
5.650	0.278
5.700	0.283
5.750	0.284
5.800	0.280
5.850	0.270
5.900	0.256
5.950	0.237
6.000	0.218
6.050	0.196
6.100	0.173
6.150	0.145
6.200	0.113
6.250	0.080
6.300	0.046
6.350	0.011
6.400	-0.020
6.450	-0.049
6.500	-0.072
6.550	-0.090
6.600	-0.102
6.650	-0.110
6.700	-0.108
6.750	-0.097
6.800	-0.079
6.850	-0.052
6.900	-0.020
6.950	0.011
7.000	0.041
7.050	0.064
7.100	0.079
7.150	0.083
7.200	0.079
7.250	0.064
