time(s),angle(rad)
0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,-0.009
2,-0.08
2.05,-0.201
2.1,-0.371
2.15,-0.6
2.2,-0.856
2.25,-1.112
2.3,-1.291
2.35,-1.398
2.4,-1.478
2.45,-1.521
2.5,-1.502
2.55,-1.417
2.6,-1.272
2.65,-1.074
2.7,-0.833
2.75,-0.558
2.8,-0.262
2.85,0.041
2.9,0.339
2.95,0.62
3,0.872
3.05,1.087
3.1,1.252
3.15,1.365
3.2,1.418
3.25,1.412
3.3,1.346
3.35,1.228
3.4,1.062
3.45,0.853
3.5,0.614
3.55,0.352
3.6,0.079
3.65,-0.196
3.7,-0.459
3.75,-0.701
3.8,-0.908
3.85,-1.076
3.9,-1.195
3.95,-1.261
4,-1.269
4.05,-1.222
4.1,-1.123
4.15,-0.977
4.2,-0.79
4.25,-0.573
4.3,-0.335
4.35,-0.083
4.4,0.168
4.45,0.408
4.5,0.628
4.55,0.822
4.6,0.977
4.65,1.092
4.7,1.158
4.75,1.175
4.8,1.144
4.85,1.065
4.9,0.946
4.95,0.79
5,0.605
5.05,0.397
5.1,0.176
5.15,-0.049
5.2,-0.27
5.25,-0.478
5.3,-0.661
5.35,-0.815
5.4,-0.931
5.45,-1.005
5.5,-1.037
5.55,-1.023
5.6,-0.966
5.65,-0.869
5.7,-0.737
5.75,-0.575
5.8,-0.391
5.85,-0.195
5.9,0.009
5.95,0.209
6,0.396
6.05,0.565
6.1,0.708
6.15,0.82
6.2,0.897
6.25,0.933
6.3,0.93
6.35,0.888
6.4,0.809
6.45,0.701
6.5,0.565
6.55,0.41
6.6,0.24
6.65,0.064
6.7,-0.112
6.75,-0.283
6.8,-0.438
6.85,-0.573
6.9,-0.682
6.95,-0.759
7,-0.8
7.05,-0.804
7.1,-0.776
7.15,-0.713
7.2,-0.622
7.25,-0.506
7.3,-0.371
7.35,-0.221
7.4,-0.066
7.45,0.09
7.5,0.237
7.55,0.374
7.6,0.492
7.65,0.589
7.7,0.66
7.75,0.701
7.8,0.71
7.85,0.69
7.9,0.641
7.95,0.569
8,0.474
8.05,0.364
8.1,0.242
8.15,0.112
8.2,-0.019
8.25,-0.148
8.3,-0.27
8.35,-0.379
8.4,-0.47
8.45,-0.537
8.5,-0.58
8.55,-0.595
8.6,-0.583
8.65,-0.547
8.7,-0.485
8.75,-0.405
8.8,-0.311
8.85,-0.204
8.9,-0.093
8.95,0.02
9,0.13
9.05,0.231
9.1,0.319
9.15,0.393
9.2,0.448
9.25,0.484
9.3,0.498
9.35,0.49
9.4,0.462
9.45,0.416
9.5,0.355
9.55,0.283
9.6,0.203
9.65,0.116
9.7,0.027
9.75,-0.063
9.8,-0.146
9.85,-0.223
9.9,-0.291
9.95,-0.346
10,-0.382
10.05,-0.401
10.1,-0.401
10.15,-0.382
10.2,-0.349
10.25,-0.3
10.3,-0.24
10.35,-0.173
10.4,-0.101
10.45,-0.028
10.5,0.044
10.55,0.112
10.6,0.17
10.65,0.218
10.7,0.254
10.75,0.281
10.8,0.294
10.85,0.292
10.9,0.276
10.95,0.251
11,0.217
11.05,0.178
11.1,0.134
11.15,0.085
11.2,0.036
11.25,-0.013
11.3,-0.061
11.35,-0.105
11.4,-0.146
11.45,-0.179
11.5,-0.203
11.55,-0.218
11.6,-0.223
11.65,-0.22
11.7,-0.206
11.75,-0.185
11.8,-0.159
11.85,-0.127
11.9,-0.093
11.95,-0.058
12,-0.022
12.05,0.013
12.1,0.044
12.15,0.068
12.2,0.086
12.25,0.099
