time(s),angle(rad)
0,0
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,0
0.35,0
0.4,0
0.45,0
0.5,0
0.55,0
0.6,0
0.65,0
0.7,0
0.75,0
0.8,0
0.85,0
0.9,0
0.95,0
1,0
1.05,0
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,0
1.5,0
1.55,0
1.6,0
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,0
2,0
2.05,0
2.1,0
2.15,0
2.2,0
2.25,0
2.3,0
2.35,0
2.4,0
2.45,0
2.5,0
2.55,0
2.6,0
2.65,0
2.7,0
2.75,0
2.8,0
2.85,0
2.9,0
2.95,0
3,0
3.05,0
3.1,0
3.15,0
3.2,0
3.25,0
3.3,0
3.35,0
3.4,0
3.45,0
3.5,0.002
3.55,0.003
3.6,0.003
3.65,0.005
3.7,0.005
3.75,0.006
3.8,0.006
3.85,0.006
3.9,0.005
3.95,0.002
4,-0.002
4.05,-0.006
4.1,-0.009
4.15,-0.014
4.2,-0.017
4.25,-0.019
4.3,-0.019
4.35,-0.019
4.4,-0.017
4.45,-0.016
4.5,-0.013
4.55,-0.009
4.6,-0.006
4.65,-0.002
4.7,0.002
4.75,0.006
4.8,0.009
4.85,0.011
4.9,0.014
4.95,0.016
5,0.017
5.05,0.019
5.1,0.022
5.15,0.028
5.2,0.049
5.25,0.082
5.3,0.116
5.35,0.152
5.4,0.185
5.45,0.214
5.5,0.237
5.55,0.254
5.6,0.269
5.65,0.278
5.7,0.283
5.75,0.284
5.8,0.28
5.85,0.27
5.9,0.256
5.95,0.237
6,0.218
6.05,0.196
6.1,0.173
6.15,0.145
6.2,0.113
6.25,0.08
6.3,0.046
6.35,0.011
6.4,-0.02
6.45,-0.049
6.5,-0.072
6.55,-0.09
6.6,-0.102
6.65,-0.11
6.7,-0.108
6.75,-0.097
6.8,-0.079
6.85,-0.052
6.9,-0.02
6.95,0.011
7,0.041
7.05,0.064
7.1,0.079
7.15,0.083
7.2,0.079
7.25,0.064
7.3,0.046
7.35,0.024
7.4,0.002
7.45,-0.019
7.5,-0.035
7.55,-0.044
7.6,-0.044
7.65,-0.035
7.7,-0.017
7.75,0.003
7.8,0.024
7.85,0.041
7.9,0.053
7.95,0.06
8,0.058
8.05,0.046
8.1,0.025
8.15,-0.003
8.2,-0.036
8.25,-0.071
8.3,-0.107
8.35,-0.14
8.4,-0.168
8.45,-0.188
8.5,-0.199
8.55,-0.201
8.6,-0.192
8.65,-0.174
8.7,-0.154
8.75,-0.13
8.8,-0.108
8.85,-0.088
8.9,-0.072
8.95,-0.063
9,-0.058
9.05,-0.057
9.1,-0.057
9.15,-0.055
9.2,-0.052
9.25,-0.047
9.3,-0.041
9.35,-0.035
9.4,-0.027
9.45,-0.02
9.5,-0.014
9.55,-0.008
9.6,-0.005
9.65,-0.002
9.7,-0.002
9.75,-0.002
9.8,-0.002
9.85,-0.003
9.9,-0.006
9.95,-0.014
10,-0.024
10.05,-0.033
10.1,-0.044
10.15,-0.055
10.2,-0.063
10.25,-0.069
10.3,-0.072
10.35,-0.074
10.4,-0.072
10.45,-0.068
10.5,-0.063
10.55,-0.058
10.6,-0.052
10.65,-0.047
10.7,-0.041
10.75,-0.038
10.8,-0.036
10.85,-0.036
10.9,-0.036
10.95,-0.038
11,-0.039
11.05,-0.039
11.1,-0.041
11.15,-0.041
11.2,-0.041
11.25,-0.041
11.3,-0.041
11.35,-0.042
11.4,-0.044
11.45,-0.046
11.5,-0.047
11.55,-0.049
11.6,-0.05
11.65,-0.052
11.7,-0.053
11.75,-0.057
11.8,-0.058
11.85,-0.06
11.9,-0.061
11.95,-0.063
12,-0.066
12.05,-0.071
12.1,-0.075
12.15,-0.085
12.2,-0.096
12.25,-0.11
12.3,-0.129
12.35,-0.149
12.4,-0.174
12.45,-0.203
12.5,-0.232
12.55,-0.269
12.6,-0.311
12.65,-0.358
12.7,-0.412
12.75,-0.468
12.8,-0.528
12.85,-0.589
12.9,-0.649
12.95,-0.707
13,-0.759
13.05,-0.8
13.1,-0.829
13.15,-0.842
13.2,-0.844
13.25,-0.829
13.3,-0.804
13.35,-0.774
13.4,-0.74
13.45,-0.705
13.5,-0.671
13.55,-0.639
13.6,-0.613
13.65,-0.592
13.7,-0.583
13.75,-0.583
13.8,-0.592
13.85,-0.609
13.9,-0.631
13.95,-0.653
14,-0.672
14.05,-0.685
14.1,-0.69
14.15,-0.682
14.2,-0.664
14.25,-0.636
14.3,-0.598
14.35,-0.554
14.4,-0.503
14.45,-0.448
14.5,-0.391
14.55,-0.335
14.6,-0.283
14.65,-0.237
14.7,-0.201
14.75,-0.178
14.8,-0.165
14.85,-0.163
14.9,-0.174
14.95,-0.192
15,-0.218
15.05,-0.245
15.1,-0.273
15.15,-0.297
15.2,-0.314
15.25,-0.324
15.3,-0.322
15.35,-0.313
15.4,-0.294
15.45,-0.267
15.5,-0.234
15.55,-0.196
15.6,-0.154
15.65,-0.112
15.7,-0.069
15.75,-0.028
15.8,0.005
15.85,0.03
15.9,0.046
15.95,0.049
16,0.044
16.05,0.031
16.1,0.016
16.15,0.008
16.2,0.022
16.25,0.041
16.3,0.057
16.35,0.068
16.4,0.075
16.45,0.083
16.5,0.097
16.55,0.123
16.6,0.154
16.65,0.188
16.7,0.234
16.75,0.295
16.8,0.361
16.85,0.424
16.9,0.476
16.95,0.511
17,0.531
17.05,0.542
17.1,0.548
17.15,0.551
17.2,0.548
17.25,0.537
17.3,0.52
17.35,0.498
17.4,0.468
17.45,0.435
17.5,0.408
17.55,0.386
17.6,0.372
17.65,0.36
17.7,0.352
17.75,0.363
17.8,0.386
17.85,0.41
17.9,0.424
17.95,0.429
18,0.43
18.05,0.418
18.1,0.402
18.15,0.368
18.2,0.325
18.25,0.302
18.3,0.294
18.35,0.267
18.4,0.251
18.45,0.273
18.5,0.284
18.55,0.267
18.6,0.247
18.65,0.218
18.7,0.179
18.75,0.154
18.8,0.159
18.85,0.195
18.9,0.232
18.95,0.267
19,0.316
19.05,0.394
19.1,0.46
19.15,0.492
19.2,0.515
19.25,0.529
19.3,0.518
19.35,0.492
19.4,0.445
19.45,0.402
19.5,0.372
19.55,0.352
19.6,0.349
19.65,0.375
19.7,0.412
19.75,0.44
19.8,0.463
19.85,0.498
19.9,0.523
19.95,0.531
20,0.537
20.05,0.55
20.1,0.569
20.15,0.603
20.2,0.639
20.25,0.677
20.3,0.724
20.35,0.784
20.4,0.823
20.45,0.828
20.5,0.836
20.55,0.844
20.6,0.826
20.65,0.8
20.7,0.781
20.75,0.76
20.8,0.738
20.85,0.723
20.9,0.723
20.95,0.754
21,0.822
21.05,0.92
21.1,1.045
21.15,1.153
21.2,1.219
21.25,1.227
21.3,1.178
21.35,1.09
21.4,0.994
21.45,0.919
21.5,0.883
21.55,0.886
21.6,0.895
21.65,0.96
21.7,1.043
21.75,1.095
21.8,1.142
21.85,1.175
21.9,1.178
21.95,1.173
22,1.153
22.05,1.167
22.1,1.241
22.15,1.34
22.2,1.401
22.25,1.367
22.3,1.285
22.35,1.232
22.4,1.211
22.45,1.217
22.5,1.25
22.55,1.26
22.6,1.236
22.65,1.224
22.7,1.219
22.75,1.181
22.8,1.178
22.85,1.195
22.9,1.199
22.95,1.169
